# destino_id,destino_nombre_es,zona_nombre,clave_mkp,Cangooroo ID,Cangooroo Nombre,Cangooroo ID,Cangooroo ID
868,Heaven at Hard Rock Hotel Riviera Maya,Puerto Aventuras,HARDH,,,,
324,Hidden Beach Resort,Puerto Aventuras,HIDEN,525928,Hidden Beach Resort Au Naturel By Karisma,,
463,Hideaway at Royalton,Puerto Morelos,HIDER,,,,
544,Hilton Los Cabos Beach and Golf Resort,Los Cabos - Corredor Turistico,HIL,,,,
393,Hilton Playa del Carmen,Playa del Carmen,HILTONPY,,,,
354,Hip Hotel Tulum,Tulúm,HIPH,,,,
871,HM Playa del carmen,Playa del Carmen,HMP,,,,
411,Hnos. Aguilar,Cozumel DownTown,,,,,
81,Holiday Inn Express,Cancún,FINN,,,,
565,Holiday Inn Express Cabo San Lucas,Los Cabos - Cabo San Lucas,HOLIC,,,,
216,Holiday Inn Express Playacar Riviera Maya,Playa del Carmen,HIEPC,,,,
533,Holiday Inn Resort,Los Cabos - San Jose del Cabo,HOLIN,,,,
875,Hospiten Cancún,Cancún,HOSPI,,,,
697,Hostel Balagan,Cancún,BALAG,,,,
873,Hostel Inn Cancun,Cancún,HOSINC,,,,
718,Hostel Morenita Linda,Cancún,HOSMOL,,,,
874,Hostel Mundo Joven Catedral,Cancún,HOSMUN,,,,
185,Hotel : The Fives Oceanfront Puerto Morelos,Puerto Morelos,FRONTF,,,,
764,Hotel Akumal Caribe,Riviera Maya,AKUMC,,,,
3,Hotel Antillano Cancún,Cancún,ANTIL,,,,
773,Hotel Aspira,Playa del Carmen,ASPIRAPYA,,,,
382,Hotel B Cozumel,Cozumel Zona Norte,HOTELB,,,,
675,Hotel Barrio Latino Playa Del Carmen,Playa del Carmen,LATINO,,,,
264,Hotel Basico,Playa del Carmen,BASIC,,,,
94,Hotel Batab Cancún,Cancún,BATAB,,,,
677,Hotel Bosque Caribe,Playa del Carmen,BOSQUE,,,,
228,Hotel Caribbean Paradise,Playa del Carmen,KOOX,,,,
781,Hotel Caribbean Paradise Boutique & Dive Center,Playa del Carmen,CARIB,,,,
27,Hotel Caribe Internacional,Cancún,CBEIN,,,,
802,Hotel Casa de las Flores Playa del Carmen,Playa del Carmen,FLORES,,,,
715,Hotel Casa La Galería,Playa del Carmen,CALAGALE,,,,
183,Hotel Casa Ticul,Playa del Carmen,CAST,,,,
745,Hotel Casa Turquesa,Cancún,CASAT,,,,
789,Hotel Cielo,Playa del Carmen,CIELO,,,,
672,Hotel Club Yebo,Playa del Carmen,YEBO,,,,
876,Hotel Colonial,Cancún,HOSTC,,,,
369,Hotel Cozumel and Resort,Cozumel Zona Sur,BRISAS,,,,
72,Hotel del Sol,Cancún,HTLSOL,,,,
793,Hotel Diamante k,Tulúm,DIAMK,,,,
713,Hotel Dos Playas Faranda Cancún,Cancún,FARANDA,,,,
524,Hotel en Playa del Carmen,Playa del Carmen,HOMEP,,,,
527,Hotel en Puerto Juarez,Cancún,HTPLYMJ,,,,
525,Hotel en Puerto Morelos,Puerto Morelos,HTLPTM,,,,
520,Hotel en Tulum,Tulúm,HOMET,,,,
526,Hotel en Zona Hotelera de Cancún,Cancún,HOME,,,,
737,Hotel Esencia,Puerto Aventuras,ESEN,,,,
711,Hotel Eurostars Hacienda Vista Real,Playa del Carmen,HEHVR,,,,
804,Hotel Gota de Sal,Puerto Morelos,GOTSA,,,,
95,Hotel Grand Royal Lagoon,Cancún,RLOGO,,,,
130,Hotel Hacienda de Castilla,Cancún,HACIMC,,,,
866,Hotel Hacienda del Caribe,Playa del Carmen,HACI,,,,
898,Hotel Hacienda Inn Aeropuerto,Merida,HINNAPTO,,,,
867,Hotel Handall,Cancún,HANDA,,,,
880,Hotel Hulku,Playa del Carmen,HUL,,,,
53,Hotel ibis Cancun Centro,Cancún,IBIS,,,,
901,Hotel Ibis Merida,Merida,IBISM,,,,
690,Hotel Jardín,Cancún,,,,,
338,Hotel Kin Ha Pueblo,Playa del Carmen,,,,,
435,Hotel Krystal Urban Cancun,Cancún,KRYS,,,,
888,Hotel Laguna Suites,Cancún,LAGUS,,,,
174,Hotel LunaSol,Playa del Carmen,LUNAS,,,,
210,Hotel Lunata,Playa del Carmen,LUNA,,,,
893,Hotel Magic Express Playa del Carmen,Playa del Carmen,MAGIE,,,,
896,Hotel Margaritas Cancun,Cancún,MARGA,643174,Hotel Margaritas  Cancun,,
897,Hotel Maria Candelaria,Playa del Carmen,MARIAC,686130,Hotel Maria Candelaria,,
51,Hotel María de Lourdes,Cancún,MALOU,267402,Hotel Maria de Lourdes,,
362,Hotel Marina El Cid Spa & Beach Resort Riviera Maya,Puerto Morelos,CID,213061,Hotel Marina El Cid Spa & Beach Resort,,
879,Hotel Maya Caribe Faranda Cancún,Cancún,HTLFARANDA,619525,Hotel Maya Caribe Faranda,,
902,Hotel Maya del Carmen,Playa del Carmen,HMAYAC,1061872,Hotel Maya del Carmen,,
721,Hotel Maya Suites By LHMG,Playa del Carmen,MASUIT,,,,
